CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-21-07,SX,Morice,2007,30773,1.00,30773,1.00,30773,1.00,30773,10996,0.236,41769,15875,0.340,46648,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2008,12564,1.00,12564,1.00,12564,1.00,12564,6884,0.350,19448,7122,0.362,19686,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2009,21038,1.00,21038,1.00,21038,1.00,21038,4233,0.162,25271,5106,0.195,26144,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2010,10584,1.00,10584,1.00,10584,1.00,10584,2656,0.195,13240,3007,0.221,13591,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2011,6091,1.00,6091,1.00,6091,1.00,6091,2024,0.239,8115,2397,0.282,8488,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2012,5663,1.00,5663,1.00,5663,1.00,5663,1977,0.253,7639,2136,0.274,7799,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2013,7079,1.00,7079,1.00,7079,1.00,7079,1846,0.202,8925,2050,0.225,9129,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2014,13129,1.00,13129,1.00,13129,1.00,13129,2753,0.164,15883,3703,0.220,16832,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2015,21520,1.00,21520,1.00,21520,1.00,21520,3985,0.146,25505,5785,0.212,27304,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2016,20240,1.00,20240,1.00,20240,1.00,20240,6803,0.223,27042,10299,0.337,30539,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2017,15953,1.00,15953,1.00,15953,1.00,15953,501,0.030,16453,957,0.057,16910,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2018,15598,1.00,15598,1.00,15598,1.00,15598,1637,0.093,17234,1999,0.114,17597,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2019,21984,1.00,21984,1.00,21984,1.00,21984,2988,0.108,24972,5560,0.202,27545,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2020,17959,1.00,17959,1.00,17959,1.00,17959,2211,0.104,20170,3295,0.155,21254,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2021,67366,1.00,67366,1.00,67366,1.00,67366,5847,0.068,73213,18223,0.213,85589,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2022,15970,1.00,15970,1.00,15970,1.00,15970,2940,0.149,18910,3819,0.193,19789,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,2023,19165,1.00,19165,1.00,19165,1.00,19165,4456,0.180,23622,5577,0.225,24742,2.00,5.00,5.00,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-09,SX,Stephens,1954,,,,,,,,,,,,,,,,,,,,04
SX_L-21-09,SX,Stephens,1955,,,,,,,,,,,,,,,,,,,,04
SX_L-21-09,SX,Stephens,1956,,,,,,,,,,,,,,,,,,,,04
SX_L-21-09,SX,Stephens,1957,,,,,,,,,,,,,,,,,,,,04
SX_L-21-09,SX,Stephens,1958,,,,,,,,,,,,,,,,,,,,04
SX_L-21-09,SX,Stephens,1959,,,,,,,,,,,,,,,,,,,,04
SX_L-21-09,SX,Stephens,1960,3250,1.09,3551,1.53,5447,2.00,10893,8029,0.376,18922,10446,0.490,21340,2.50,4.58,3.26,Swan+,[LOOKUP CU],Sockeye Model,04
